Machine Module SVA1015X
Trace Name,Trace A
Meas Type,S21
Start Frequency,+1.000000000E+05
Stop Frequency,+1.000000000E+08
Format,Log Mag
IFBW,1.000000e+04




Trace Data
Frequency,Formatted Data
1.000000e+05,1.006368e+00
5.995000e+05,2.383782e+01
1.099000e+06,1.684138e+01
1.598500e+06,1.259834e+01
2.098000e+06,8.848051e+00
2.597500e+06,5.901660e+00
3.097000e+06,3.277662e+00
3.596500e+06,1.142931e+00
4.096000e+06,-9.038978e-01
4.595500e+06,-2.539318e+00
5.095000e+06,-4.129298e+00
5.594500e+06,-5.469651e+00
6.094000e+06,-6.756663e+00
6.593500e+06,-8.014094e+00
7.093000e+06,-9.144932e+00
7.592500e+06,-1.021095e+01
8.092000e+06,-1.030400e+01
8.591500e+06,-1.050337e+01
9.091000e+06,-1.067037e+01
9.590500e+06,-1.082469e+01
1.009000e+07,-1.089385e+01
1.058950e+07,-1.098975e+01
1.108900e+07,-1.098118e+01
1.158850e+07,-1.098622e+01
1.208800e+07,-1.098564e+01
1.258750e+07,-1.088303e+01
1.308700e+07,-1.080987e+01
1.358650e+07,-1.068257e+01
1.408600e+07,-1.051669e+01
1.458550e+07,-1.034333e+01
1.508500e+07,-1.006545e+01
1.558450e+07,-1.022439e+01
1.608400e+07,-1.031546e+01
1.658350e+07,-1.037577e+01
1.708300e+07,-1.042759e+01
1.758250e+07,-1.048855e+01
1.808200e+07,-1.049945e+01
1.858150e+07,-1.051063e+01
1.908100e+07,-1.052369e+01
1.958050e+07,-1.051668e+01
2.008000e+07,-1.050774e+01
2.057950e+07,-1.049503e+01
2.107900e+07,-1.043274e+01
2.157850e+07,-1.039738e+01
2.207800e+07,-1.033480e+01
2.257750e+07,-1.027195e+01
2.307700e+07,-1.032977e+01
2.357650e+07,-1.037541e+01
2.407600e+07,-1.041582e+01
2.457550e+07,-1.045472e+01
2.507500e+07,-1.047904e+01
2.557450e+07,-1.050468e+01
2.607400e+07,-1.052138e+01
2.657350e+07,-1.053996e+01
2.707300e+07,-1.054313e+01
2.757250e+07,-1.054517e+01
2.807200e+07,-1.054371e+01
2.857150e+07,-1.054322e+01
2.907100e+07,-1.050799e+01
2.957050e+07,-1.050573e+01
3.007000e+07,-1.047925e+01
3.056950e+07,-1.051491e+01
3.106900e+07,-1.057313e+01
3.156850e+07,-1.057751e+01
3.206800e+07,-1.062281e+01
3.256750e+07,-1.066276e+01
3.306700e+07,-1.072953e+01
3.356650e+07,-1.102765e+01
3.406600e+07,-1.290753e+01
3.456550e+07,-1.171208e+01
3.506500e+07,-1.109410e+01
3.556450e+07,-1.094234e+01
3.606400e+07,-1.087978e+01
